DATAFLOW,FREQ: Frequency,YEARS: Year,MONTH: Month,TEMPERATURE: Temperature,MUNICIPALITY: Municipality,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_MONTH_2: Note Month 2,NOTE_MONTH_1: Note Month 1,NOTE_TEMPERATURE_2: Note Temperature 2,NOTE_TEMPERATURE_1: Note Temperature 1,NOTE_MUNICIPALITY_2: Note Municipality 2,NOTE_MUNICIPALITY_1: Note Municipality 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A2101(1.1),A: Annual,2018: 2018,SL06: May,T02: Minimum temperatures,S01: Luxembourg-City,2021,-0.44,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1965: 1965,SL03: February,T02: Minimum temperatures,S03: Grevenmacher,2021,-9.5,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1964: 1964,SL06: May,T02: Minimum temperatures,S01: Luxembourg-City,2021,3.4,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2007: 2007,SL04: March,T02: Minimum temperatures,S02: Clervaux,2021,-2.1,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2000: 2000,SL04: March,T02: Minimum temperatures,S03: Grevenmacher,2021,-2.8,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2005: 2005,SL02: January,T01: Maximum temperatures,S01: Luxembourg-City,2021,12.6,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2003: 2003,SL13: December,T01: Maximum temperatures,S03: Grevenmacher,2021,12.2,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1993: 1993,SL05: April,T01: Maximum temperatures,S03: Grevenmacher,2021,27.6,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2010: 2010,SL12: November,T02: Minimum temperatures,S03: Grevenmacher,2021,-4.6,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2020: 2020,SL09: August,T01: Maximum temperatures,S01: Luxembourg-City,2021,35.47,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2006: 2006,SL09: August,T02: Minimum temperatures,S03: Grevenmacher,2021,7.6,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1968: 1968,SL12: November,T01: Maximum temperatures,S02: Clervaux,2021,18,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2012: 2012,SL04: March,T01: Maximum temperatures,S02: Clervaux,2021,19.3,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2003: 2003,SL12: November,T02: Minimum temperatures,S03: Grevenmacher,2021,-2.4,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2014: 2014,SL04: March,T02: Minimum temperatures,S02: Clervaux,2021,-1.5,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2019: 2019,SL03: February,T02: Minimum temperatures,S03: Grevenmacher,2021,-5.71,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1980: 1980,SL08: July,T02: Minimum temperatures,S01: Luxembourg-City,2021,4,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2011: 2011,SL07: June,T01: Maximum temperatures,S01: Luxembourg-City,2021,34.4,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1951-1980: 1951-1980,SL01: 12 month average,T02: Minimum temperatures,S02: Clervaux,2021,-3.1,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2019: 2019,SL04: March,T01: Maximum temperatures,S02: Clervaux,2021,18.02,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2017: 2017,SL12: November,T02: Minimum temperatures,S02: Clervaux,2021,-3.38,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2003: 2003,SL02: January,T01: Maximum temperatures,S02: Clervaux,2021,10.3,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2006: 2006,SL10: September,T01: Maximum temperatures,S02: Clervaux,2021,25.4,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1970: 1970,SL11: October,T02: Minimum temperatures,S01: Luxembourg-City,2021,0.8,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1999: 1999,SL10: September,T01: Maximum temperatures,S03: Grevenmacher,2021,30.8,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1998: 1998,SL13: December,T01: Maximum temperatures,S01: Luxembourg-City,2021,11.8,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1977: 1977,SL03: February,T01: Maximum temperatures,S02: Clervaux,2021,10.5,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2013: 2013,SL09: August,T02: Minimum temperatures,S02: Clervaux,2021,6.7,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2012: 2012,SL04: March,T01: Maximum temperatures,S03: Grevenmacher,2021,21.2,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2000: 2000,SL05: April,T01: Maximum temperatures,S03: Grevenmacher,2021,26.2,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1987: 1987,SL10: September,T02: Minimum temperatures,S03: Grevenmacher,2021,3,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1981: 1981,SL06: May,T01: Maximum temperatures,S03: Grevenmacher,2021,28,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1990: 1990,SL08: July,T01: Maximum temperatures,S02: Clervaux,2021,29.1,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1998: 1998,SL13: December,T02: Minimum temperatures,S02: Clervaux,2021,-7,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1992: 1992,SL08: July,T01: Maximum temperatures,S01: Luxembourg-City,2021,32.2,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2012: 2012,SL02: January,T01: Maximum temperatures,S01: Luxembourg-City,2021,12.7,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1964: 1964,SL09: August,T01: Maximum temperatures,S03: Grevenmacher,2021,34,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1977: 1977,SL03: February,T01: Maximum temperatures,S03: Grevenmacher,2021,14,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1992: 1992,SL10: September,T01: Maximum temperatures,S03: Grevenmacher,2021,26,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1978: 1978,SL08: July,T02: Minimum temperatures,S02: Clervaux,2021,3,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1977: 1977,SL01: 12 month average,T01: Maximum temperatures,S01: Luxembourg-City,2021,20.58,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1981-2010: 1981-2010,SL09: August,T02: Minimum temperatures,S02: Clervaux,2021,6.14,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1997: 1997,SL07: June,T02: Minimum temperatures,S03: Grevenmacher,2021,6.7,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1951-1980: 1951-1980,SL01: 12 month average,T02: Minimum temperatures,S03: Grevenmacher,2021,-2.6,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2015: 2015,SL12: November,T01: Maximum temperatures,S03: Grevenmacher,2021,20.2,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1991: 1991,SL13: December,T02: Minimum temperatures,S02: Clervaux,2021,-8,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1961-1990: 1961-1990,SL07: June,T01: Maximum temperatures,S01: Luxembourg-City,2021,28.72,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1969: 1969,SL06: May,T01: Maximum temperatures,S01: Luxembourg-City,2021,29.3,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1984: 1984,SL02: January,T02: Minimum temperatures,S03: Grevenmacher,2021,-3,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1951-1980: 1951-1980,SL12: November,T01: Maximum temperatures,S01: Luxembourg-City,2021,13.6,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1989: 1989,SL02: January,T01: Maximum temperatures,S03: Grevenmacher,2021,11.1,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2007: 2007,SL04: March,T02: Minimum temperatures,S03: Grevenmacher,2021,-1.2,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2016: 2016,SL07: June,T01: Maximum temperatures,S03: Grevenmacher,2021,32.1,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1987: 1987,SL08: July,T02: Minimum temperatures,S01: Luxembourg-City,2021,5.3,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1996: 1996,SL13: December,T01: Maximum temperatures,S03: Grevenmacher,2021,10.4,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1961: 1961,SL12: November,T01: Maximum temperatures,S03: Grevenmacher,2021,14.5,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1980: 1980,SL11: October,T01: Maximum temperatures,S03: Grevenmacher,2021,17,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1961-1990: 1961-1990,SL09: August,T01: Maximum temperatures,S03: Grevenmacher,2021,30.98,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2004: 2004,SL07: June,T01: Maximum temperatures,S01: Luxembourg-City,2021,41,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1988: 1988,SL05: April,T02: Minimum temperatures,S02: Clervaux,2021,,,,,,,,"S02: Since january 1996, Station of Dahl.",,l: Not available,1: One
LU1:DF_A2101(1.1),A: Annual,1968: 1968,SL11: October,T02: Minimum temperatures,S03: Grevenmacher,2021,1.6,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1963: 1963,SL12: November,T01: Maximum temperatures,S01: Luxembourg-City,2021,16.6,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2016: 2016,SL06: May,T02: Minimum temperatures,S03: Grevenmacher,2021,0.8,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1968: 1968,SL12: November,T01: Maximum temperatures,S03: Grevenmacher,2021,17,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1965: 1965,SL04: March,T01: Maximum temperatures,S03: Grevenmacher,2021,21,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1971: 1971,SL06: May,T02: Minimum temperatures,S01: Luxembourg-City,2021,4.4,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1976: 1976,SL06: May,T01: Maximum temperatures,S01: Luxembourg-City,2021,30.5,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1996: 1996,SL13: December,T01: Maximum temperatures,S02: Clervaux,2021,7.5,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2008: 2008,SL10: September,T01: Maximum temperatures,S01: Luxembourg-City,2021,25.8,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2006: 2006,SL09: August,T02: Minimum temperatures,S02: Clervaux,2021,4.3,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1965: 1965,SL01: 12 month average,T02: Minimum temperatures,S01: Luxembourg-City,2021,-0.96,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1996: 1996,SL02: January,T01: Maximum temperatures,S03: Grevenmacher,2021,11.2,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1976: 1976,SL08: July,T01: Maximum temperatures,S03: Grevenmacher,2021,36.5,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1971: 1971,SL08: July,T02: Minimum temperatures,S03: Grevenmacher,2021,5,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1986: 1986,SL13: December,T02: Minimum temperatures,S01: Luxembourg-City,2021,-10.3,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1988: 1988,SL05: April,T02: Minimum temperatures,S03: Grevenmacher,2021,,,,,,,,"S03: Before July 1988, Station of Echternach.",,l: Not available,1: One
LU1:DF_A2101(1.1),A: Annual,1991-2020: 1991-2020,SL04: March,T01: Maximum temperatures,S01: Luxembourg-City,2021,18.533,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1991: 1991,SL02: January,T02: Minimum temperatures,S02: Clervaux,2021,-8.4,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1993: 1993,SL02: January,T02: Minimum temperatures,S01: Luxembourg-City,2021,-15.3,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1981: 1981,SL05: April,T02: Minimum temperatures,S03: Grevenmacher,2021,-2.8,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1999: 1999,SL10: September,T01: Maximum temperatures,S02: Clervaux,2021,28,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1983: 1983,SL08: July,T01: Maximum temperatures,S02: Clervaux,2021,31.7,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1962: 1962,SL06: May,T02: Minimum temperatures,S03: Grevenmacher,2021,-3,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2000: 2000,SL02: January,T02: Minimum temperatures,S01: Luxembourg-City,2021,-11.6,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2004: 2004,SL07: June,T02: Minimum temperatures,S03: Grevenmacher,2021,6.1,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2005: 2005,SL12: November,T02: Minimum temperatures,S01: Luxembourg-City,2021,-2.5,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1998: 1998,SL02: January,T02: Minimum temperatures,S02: Clervaux,2021,-11.5,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2018: 2018,SL09: August,T01: Maximum temperatures,S02: Clervaux,2021,34.15,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1982: 1982,SL11: October,T02: Minimum temperatures,S02: Clervaux,2021,-1.4,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2012: 2012,SL01: 12 month average,T02: Minimum temperatures,S01: Luxembourg-City,2021,-2.18,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1975: 1975,SL11: October,T02: Minimum temperatures,S02: Clervaux,2021,-2,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2015: 2015,SL12: November,T01: Maximum temperatures,S02: Clervaux,2021,16.7,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1961: 1961,SL01: 12 month average,T01: Maximum temperatures,S03: Grevenmacher,2021,23.65,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1995: 1995,SL05: April,T02: Minimum temperatures,S02: Clervaux,2021,-1.4,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1970: 1970,SL01: 12 month average,T01: Maximum temperatures,S01: Luxembourg-City,2021,19.2,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1981: 1981,SL06: May,T01: Maximum temperatures,S02: Clervaux,2021,24.5,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1980: 1980,SL11: October,T01: Maximum temperatures,S02: Clervaux,2021,17.2,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1991-2020: 1991-2020,SL03: February,T02: Minimum temperatures,S01: Luxembourg-City,2021,-8.823333333,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2008: 2008,SL12: November,T01: Maximum temperatures,S03: Grevenmacher,2021,17.1,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1991: 1991,SL02: January,T02: Minimum temperatures,S03: Grevenmacher,2021,-8.9,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2004: 2004,SL07: June,T02: Minimum temperatures,S02: Clervaux,2021,5.3,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1988: 1988,SL05: April,T01: Maximum temperatures,S01: Luxembourg-City,2021,23.9,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2006: 2006,SL07: June,T02: Minimum temperatures,S01: Luxembourg-City,2021,4.3,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1961: 1961,SL01: 12 month average,T01: Maximum temperatures,S02: Clervaux,2021,20.46,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2011: 2011,SL09: August,T01: Maximum temperatures,S03: Grevenmacher,2021,30.7,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1963: 1963,SL11: October,T02: Minimum temperatures,S01: Luxembourg-City,2021,0.2,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1983: 1983,SL08: July,T01: Maximum temperatures,S03: Grevenmacher,2021,34.8,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1984: 1984,SL03: February,T01: Maximum temperatures,S02: Clervaux,2021,6.8,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1971: 1971,SL08: July,T02: Minimum temperatures,S02: Clervaux,2021,3.6,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1964: 1964,SL09: August,T01: Maximum temperatures,S02: Clervaux,2021,32,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1995: 1995,SL05: April,T01: Maximum temperatures,S01: Luxembourg-City,2021,21.5,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1994: 1994,SL10: September,T02: Minimum temperatures,S03: Grevenmacher,2021,5.3,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1989: 1989,SL10: September,T02: Minimum temperatures,S01: Luxembourg-City,2021,1.9,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1996: 1996,SL02: January,T01: Maximum temperatures,S02: Clervaux,2021,7.7,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1982: 1982,SL11: October,T01: Maximum temperatures,S01: Luxembourg-City,2021,18.5,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1972: 1972,SL03: February,T02: Minimum temperatures,S02: Clervaux,2021,-13,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1979: 1979,SL03: February,T02: Minimum temperatures,S02: Clervaux,2021,-10.6,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1979: 1979,SL03: February,T01: Maximum temperatures,S01: Luxembourg-City,2021,9.4,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1987: 1987,SL11: October,T01: Maximum temperatures,S02: Clervaux,2021,17.8,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2002: 2002,SL04: March,T02: Minimum temperatures,S01: Luxembourg-City,2021,-4.3,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2010: 2010,SL12: November,T01: Maximum temperatures,S01: Luxembourg-City,2021,17.6,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2010: 2010,SL12: November,T02: Minimum temperatures,S02: Clervaux,2021,-7,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1991-2020: 1991-2020,SL04: March,T02: Minimum temperatures,S02: Clervaux,2021,-5.198,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1971-2000: 1971-2000,SL04: March,T01: Maximum temperatures,S03: Grevenmacher,2021,17.8,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2019: 2019,SL01: 12 month average,T02: Minimum temperatures,S01: Luxembourg-City,2021,-1.67,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2016: 2016,SL07: June,T01: Maximum temperatures,S02: Clervaux,2021,30.4,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
